"fod","year","n_days","log_mean","var_log","sd_log","mean_c","ymin","ymax","letter","y"
"5","2018",24,-0.529556823055644,0.00308670521039718,0.055558124611952,0.295422233297519,0.259947145235681,0.335738620431342,"a",10.6169873904579
"5","2021",50,-0.558371495485565,0.00464232888053233,0.0681346378909607,0.276457581562847,0.236316402484762,0.32341722199544,"a",10.227350560299
"5","2022",31,-0.569815642377165,0.00266822856753838,0.0516548987758022,0.269267760060773,0.239072409625116,0.303276847051652,"a",9.59045598277741
"5","2023",28,-0.455665871063562,0.00207024598744569,0.0454999559059752,0.35021450454542,0.31538001756875,0.388896544998313,"b",12.2979885636483
"6","2018",24,-0.727542092228639,0.0137382235040396,0.117210168091508,0.18726555746865,0.142970929172894,0.245283353874242,"a",7.75654070367691
"6","2021",50,-0.926246742250724,0.0102006843569412,0.100998437398512,0.118509525088832,0.0939192942306711,0.14953804382608,"b",4.72880815336492
"6","2022",31,-0.968559588903868,0.00586233287029432,0.0765658727521232,0.107507908026108,0.0901310723817914,0.128234913695368,"b",4.05514402832484
"6","2023",28,-0.684527757192101,0.00978847089803234,0.0989367014713566,0.206762722882366,0.164640069722959,0.259662326708602,"a",8.21124374937956
"7","2018",24,-0.34552586834869,0.000414310601527962,0.0203546211344737,0.451309142729137,0.430645100456354,0.472964726859935,"a",14.9564578979681
"7","2021",50,-0.484128219315171,0.0147731972937485,0.121545042242572,0.327998441906983,0.247928663025221,0.433927148965687,"b",13.7219812931475
"7","2022",31,-0.475044374420058,0.0119295462067051,0.109222462006242,0.334931215518382,0.260455278568883,0.430703189219305,"bc",13.6200307343148
"7","2023",28,-0.413282669410364,0.00339059228149121,0.0582287925470828,0.386115584057547,0.337666936773944,0.441515671260132,"a c",13.9619514384016
"8","2018",15,-0.329491827388941,0.00315030434069842,0.0561275720185581,0.468282763497728,0.411510196363849,0.532887759590722,"a",16.8513905753092
"8","2021",24,-0.382511399170293,0.0104609960537433,0.102279010817192,0.414465705181874,0.327498707243192,0.524526714068363,"a",16.5869911005991
"8","2022",12,-0.386851308405129,0.0110310048082588,0.1050285904326,0.410344570681741,0.322195967895889,0.522609478286185,"a",16.5263627817665
"8","2023",8,-0.353936897387728,0.00198982380204755,0.0446074411062498,0.442652684742156,0.399443778750782,0.490535614103754,"a",15.5120981399728
"9","2018",24,-0.345889735605567,0.00125145090508314,0.0353758520050491,0.450931178346501,0.415656343075731,0.489199626066855,"a",15.4698504887394
"9","2021",50,-0.384109654130243,0.001508256749016,0.0388362813489655,0.412943225631471,0.37761919711839,0.451571606783174,"b",14.2799480409677
"9","2022",31,-0.421520950400298,0.00391570240258377,0.0625755735298029,0.378860257058717,0.328022380540144,0.437577137700917,"c",13.8374040715203
"9","2023",28,-0.368724123919431,0.000513514263874142,0.0226608531144382,0.427834572415281,0.406083200213808,0.45075103145708,"ab",14.2539991707458
"10","2018",24,-0.397617553850626,0.00138258859577351,0.0371831762464359,0.400297102148482,0.367450861473879,0.436079451129177,"a",13.7900430636428
"10","2021",49,-0.425622929680012,0.00415839157900545,0.0644855920264787,0.375298708866455,0.323512807298399,0.435374172828074,"a",13.7677402054851
"10","2022",31,-0.481693918352397,0.00503015008400362,0.0709235509827562,0.329842096073685,0.280144777478828,0.388355654249184,"b",12.2808840963227
"10","2023",28,-0.390104493345328,0.00273581127500981,0.0523049832712889,0.407282271936812,0.361069266224421,0.459410048295027,"a",14.5278213258024
"11","2018",20,-0.504668343409505,0.0125623968438722,0.11208209867714,0.312846756418373,0.241684922553937,0.404961517529727,"ab",12.8060076011214
"11","2021",47,-0.503820758905003,0.00655600288138727,0.080969147713109,0.313457915422891,0.260141771516326,0.377701221024776,"ab",11.9439613346497
"11","2022",31,-0.558773559049025,0.0182619230725643,0.135136682927192,0.276201759560196,0.202343733036269,0.377018901645322,"a",11.9223845013422
"11","2023",27,-0.467410019292181,0.00101879739765975,0.0319186058226194,0.34087094193392,0.31671699988075,0.366866947775668,"b",11.6013515320516
"12","2018",24,-0.469727048943113,0.00674719341497625,0.0821413015174233,0.339057184267522,0.280628418993058,0.409651219986612,"ab",12.9543090142439
"12","2021",50,-0.436626798205031,0.00275114009280913,0.0524513116405027,0.365909092804215,0.324281288633753,0.412880634466763,"a",13.0564320669039
"12","2022",31,-0.504942618004668,0.00694751473762505,0.0833517530566997,0.312649243367248,0.258051049050008,0.378799271454114,"b",11.978684738074
"12","2023",28,-0.374879115773842,0.00153536502475434,0.0391837341859392,0.421813897392413,0.385422576283981,0.461641260739952,"c",14.5983784584992
"13","2018",24,-0.661549426109914,0.0136071646239453,0.116649751924062,0.217997028539335,0.166648274765994,0.285167695367447,"a",9.01779432462178
"13","2021",50,-0.843530058815055,0.017885603322932,0.133737067871746,0.14337384793097,0.105373856147724,0.195077422636173,"b",6.16888975605594
"13","2022",31,-0.89125396124026,0.0149741655730166,0.122368973081483,0.12845352859598,0.0969118905144488,0.170260934145106,"b",5.38412348446469
"13","2023",28,-0.667238971511074,0.0118017539705532,0.108635877915876,0.215159748760185,0.16754256136054,0.276310193127136,"a",8.73769551002754
