"community",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"6","proportion","chlb_totpig","dvchla_totpig",8207,8207,-17.6470844937747,1.07146641379865e-69,1.33009623781901e-69,"****"
"6","proportion","chlb_totpig","fuco_totpig",8207,8207,146.98606528319,0,0,"****"
"6","proportion","chlb_totpig","hex_totpig",8207,8207,124.207946234861,0,0,"****"
"6","proportion","chlb_totpig","per_totpig",8207,8207,60.1730955677094,0,0,"****"
"6","proportion","chlb_totpig","zea_totpig",8207,8207,-0.37205077802312,0.709855043235509,0.709855043235509,"ns"
"6","proportion","dvchla_totpig","fuco_totpig",8207,8207,164.633149776965,0,0,"****"
"6","proportion","dvchla_totpig","hex_totpig",8207,8207,141.855030728636,0,0,"****"
"6","proportion","dvchla_totpig","per_totpig",8207,8207,77.8201800614841,0,0,"****"
"6","proportion","dvchla_totpig","zea_totpig",8207,8207,17.2750337157516,7.25310264957983e-67,8.7037231794958e-67,"****"
"6","proportion","fuco_totpig","hex_totpig",8207,8207,-22.7781190483284,7.55660564651482e-115,9.71563583123334e-115,"****"
"6","proportion","fuco_totpig","per_totpig",8207,8207,-86.8129697154805,0,0,"****"
"6","proportion","fuco_totpig","zea_totpig",8207,8207,-147.358116061213,0,0,"****"
"6","proportion","hex_totpig","per_totpig",8207,8207,-64.0348506671521,0,0,"****"
"6","proportion","hex_totpig","zea_totpig",8207,8207,-124.579997012885,0,0,"****"
"6","proportion","per_totpig","zea_totpig",8207,8207,-60.5451463457325,0,0,"****"
