"combination","validation","FOD_0","log","dist_thr","n_initial","n_removed","percent_removed","n_remaining","mtry","nodesize","ntree","RMSE","RMSE_sd","R2","R2_sd","MAE","MAE_sd"
76,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,3,100,0.621185681332436,0.089713569717091,0.574480105061522,0.0782397055084794,0.469020074564936,0.0759562619781122
77,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,5,100,0.651275893854935,0.104797514068944,0.529626331094032,0.108053454329651,0.502143610353221,0.0783066412528671
78,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,5,100,0.635048434624568,0.0774125722175851,0.554722558638299,0.0678324081775519,0.483042382670387,0.0646391974738014
79,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,10,100,0.669213125226139,0.0917895516419101,0.506072857012113,0.0823541125118023,0.51068403592437,0.069636102991368
80,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,10,100,0.634794604994875,0.081885843741127,0.555978344330446,0.0650440250781969,0.476680361540306,0.0686160150145638
81,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,1,300,0.6506280668998,0.0992066500263456,0.530936160664729,0.101148159662895,0.495271975298152,0.0711167721824147
82,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,1,300,0.618658959565254,0.084670140344095,0.579216171626188,0.0609322096699457,0.469603434713224,0.0722557376698817
83,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,3,300,0.650957442356267,0.0951390129023925,0.529599877579075,0.101025779264376,0.496185162541534,0.0684426804469612
84,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,3,300,0.621115972296973,0.0910109738506662,0.574380896710294,0.0790932905626398,0.468833307025074,0.0742023039843147
85,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,5,300,0.659111521987111,0.0981902655351535,0.519385525829754,0.0970728055186131,0.504654357596653,0.073762051371856
